C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
2.5086	1.0962	0.0196	0.1029	0.5826	0.6913	1.2675	0.3551	0.0276	0.2753	7.2724	0.0345	0.0362	4.525	0.1805	0.1473	0	0.0168	0.2606	10.5715	4.3953	0.1402	30.0708	0.3826	0.3953	0.0896	2.4107	0.0607	1.563	0.1813	5.8382	1.7139	0.1628	3.5109	0.0214	0	0.5477	0.519	1
0.595	1.5177	0.0142	0	0	0.0832	0.0974	0.1763	0.0898	0.102	4.8641	0.0249	0	3.2686	0.1304	0.1383	0.0225	0.2305	0.2092	3.4386	1.5287	0.064	3.6036	0.1974	0.0571	0	1.0067	0.3654	0.5645	0.131	3.7252	2.0428	0.1411	1.5217	0.0155	0.0331	1.5034	0.2019	1
0.8027	3.305	0.0225	0	0	0.2402	0.3855	0.2181	0.3948	0.1261	3.2884	0.0308	0.0323	6.5388	0.1075	0.1448	0	0.5101	3.6477	10.8795	5.526	0.0429	5.1992	0.2685	0.1413	0.02	1.5815	0.1446	5.7246	0.3239	9.4745	1.2248	0.2036	1.7772	0	0	1.3699	0.0713	1
0.8425	0.7708	0.065	0.0724	0.1639	0.162	0.1138	0.3277	0.1651	0.1241	1.3257	0.0486	0	4.3981	0.0212	0.0932	0.0273	0.059	0.448	1.7822	0.9157	0.0311	2.6308	2.1713	0.0556	0.0315	1.5361	0.4837	1.5386	0.1275	4.4471	2.6512	0.2518	1.728	0	0.1127	0.8472	0.0561	1
0.7489	2.582	0.0024	0	0	0.1336	1.3838	0.0386	0.0481	0.0061	7.4959	0.0901	0	1.2732	0.2878	0.0641	0.0068	0	0.1763	1.2366	0.1416	0.0064	14.9439	0.9507	0.2063	0.039	78.3576	0.0176	2.4467	0	4.485	1.2669	0.0283	1.4249	0	0	0	0.0694	1
0.7725	1.0208	0.0385	12.7429	0	0.066	0.1391	10.1866	0.0237	5.4492	18.2139	0.1187	1.2434	2.0592	0.1034	0.2279	0.0267	0.0577	0	2.3383	1.1195	0.0127	1.4294	0.1879	0.1359	0.0385	0.9066	0.0696	0	0.3117	1.5056	2.2099	0.3358	1.006	8.7231	1.3782	12.4289	0	1
0.9321	1.5161	0.0019	0	0.0806	0.1593	0.0559	0.0921	0	0.0146	4.5323	0	0.025	13.9887	0.8528	0.0102	0.043	0.0116	0.0601	0.684	1.0131	0.0077	1.5332	1.2473	0.3827	0.031	1.7973	0.4058	2.9182	0.1254	1.0093	1.0074	0.4728	2.6706	0	0.1425	0.0757	0.0828	1
1.1597	1.4147	0.0485	0.5627	0	0.8046	1.302	0.3234	0.0252	0.0257	1.9629	0.0944	0.8894	7.8802	0.0548	0.0939	0.0425	5.5836	1.8467	4.5615	2.8175	0.0471	7.7002	0.3983	0.3601	0	4.8037	0.2396	1.4238	0.1651	3.9887	7.2598	0.1779	2.3454	0.039	0	1.0976	0.1091	1
2.86	0.7719	0.0038	0.1392	0.0394	0.0779	1.2578	0.03	0.0093	0.0048	3.0345	0.0467	0.2689	22.9401	0.61	0.0199	0.042	0.3519	0.783	2.4237	1.2104	0.0075	3.5595	3.3436	0	0.0151	0.5856	0.8344	0.5283	0	12.9573	7.82	0.4622	0.712	0	0.0155	0.2221	0.027	1
0.2039	0.3523	0.0013	0	0.0264	0.2265	0	0	0.0125	0.0064	1.8738	0.0313	1.0336	0.3623	0.0136	0.0134	0.0035	0.0076	0.0394	0.4207	0.4432	0.0151	0.503	5.9392	0.0359	0.0102	1.709	0.1285	0.0709	0.0823	0.7064	0.8165	0.0443	0.6372	0	0.052	0	0.0362	1
0.3765	1.6732	0.002	1.8486	0.4603	0.1103	0.1162	0.3188	0.0595	2.6874	0.8384	0.0992	0.0779	2.9634	0.1296	0.836	0.6755	0.2774	0.1664	0.3996	0.3508	0.1484	2.787	4.2204	0.0568	0.0965	1.5692	1.3081	1.3472	13.9337	3.3548	0.6771	0.2339	1.9334	0.0308	1.6288	1.8096	0.1434	1
0.9228	0.4093	0.0063	0.0769	0.087	1.5488	0.1007	0.0829	0	0.0053	6.3699	0	0	3.4787	0.1348	0.033	0.0058	0.0251	0.0865	4.0167	1.9452	0.0193	2.2768	3.2451	0.1181	0.1673	0.8439	0.1662	3.852	0.1354	5.1594	1.7919	0.1702	3.059	0.016	0.0171	0	0	1
0.6407	0.7034	0.0032	0	0.3323	0.8324	0.3384	0.0633	0.0079	0.0081	1.485	0	0	2.9603	0.6863	0.0672	0.0044	0.0096	0.1156	1.1636	1.1142	0.0021	4.1099	7.6531	0.0451	0.0383	1.0097	0.1385	3.7441	0	4.1623	1.3196	0.0186	1.7355	0	0.0653	0	0.1594	1
0.5394	3.5096	0.0108	0.2966	0.056	0.332	0	1.0231	0.0531	0.278	24.059	0.1327	0	2.173	0	0.1839	0.0075	7.9356	1.1961	0.5938	0.6254	0.0567	0.2662	124.2587	0.2278	0.0215	2.2792	2.6237	6.1549	0.3483	3.1775	1.3169	0.1564	1.3488	0	0.044	0.7364	0	1
0.3927	1.0608	0.0042	1.4654	0.0873	0.2302	0.0404	1.7956	0.0517	0.1428	14.1927	0.207	0.0542	2.6921	0.2479	0.2318	0.064	0.2013	0.1953	2.0379	0.8537	0.1244	4.3604	3.583	0.0592	0	1.1288	0.2274	7.0259	0.1358	1.7496	1.5408	0.2683	2.455	0.016	0.0515	0.5744	0.4486	1
0.3238	1.5801	0.0024	0.3561	0.1008	0.2989	0.07	0.3263	0.3345	0.1526	9.6281	0.2389	0.0938	4.4888	0.078	0.2675	0.0403	0.4647	0.4258	1.0158	1.2671	0.0287	4.4342	2.0326	0.2051	0	15.8968	2.415	0.6759	0	1.8513	1.2599	0.3097	4.5545	0.0185	0.1189	1.042	0	1
0.4758	1.1931	0.0138	3.3432	0	0.4609	0.2475	4.1674	0.0878	0.3439	4.7538	0.1219	0.0766	7.5165	0.8919	0.208	0.0165	0.1423	0.0409	5.892	0.9194	0.284	4.7937	0.9454	0.3907	0	1.1435	0.3857	2.7586	0	2.6104	1.452	0.1839	2.7265	0	0.0647	1.7013	0.4227	1
0.7859	0.142	0.0022	0.08	0.0453	0.0597	1.2998	0.0345	0.0107	0.0055	2.7919	0	0.0281	30.211	3.6013	0	1.873	0	0.0225	1.6341	1.139	0.0029	5.3864	4.759	0	0	0.8199	1.872	0.3645	0	6.8836	0.4663	0.3037	1.7286	0	0.0178	0.0852	0.1241	1
0.9713	0.3091	0	0.0581	0.1314	0.4548	0.1065	0.0375	0.0078	0.6688	4.6076	0.1168	0	76.5548	0.2036	0.0166	1.7005	0.0379	0.0653	0.7321	0.459	0.0146	3.7511	66.9953	0.0892	0.2526	3.5687	0.2511	0.5289	0	3.5119	0.6766	0.1836	1.056	0	0.0646	0	0.1126	1
1.1859	0.3701	0.0103	0	0.1287	0.1414	0.7548	0.0981	0.0102	0.6136	22.1541	0	0.0799	6.4699	4.0104	0.0326	0.0172	0.0124	0.2133	1.7304	1.1991	0.0082	5.818	1.2883	0.2912	0.066	1.193	0.4173	5.6412	0	2.0068	0.8206	0.0719	0.7758	0.0158	0	0	0.1176	1
0.1586	1.2682	0.004	0	0.0274	0.2169	0.0508	0.1253	0.0325	0.1196	0.0845	0.0812	0.1191	3.0689	0	0.0624	0.011	0.1343	0.0954	0.9019	0.3064	0.0677	0.9782	1.5819	0.0744	0.0105	0.4609	0.6856	0.8091	0	1.3279	1.0082	0.1992	0.8261	0.0403	0.0216	0.4124	0	1
