C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
1.136	0.9701	0.0149	2.9673	0	0.437	0.0409	5.2854	0.0629	0.2463	19.4089	0	0.0823	2.4228	0.1825	0.0223	1.1318	0.2675	1.1642	4.2203	2.3461	0.0252	6.5169	0.1658	0.06	0.034	8.8856	0.5832	4.8608	0.1375	10.1852	0.91	0.247	1.9529	0.0325	0.7471	0.4154	0.0606	1
0.9624	1.3138	0.0034	2.0791	0	0.1645	0.066	0.3803	1.3779	1.767	6.2641	0	0.1328	3.0951	0.4971	0.1262	0.0523	0.0206	0.4431	2.4215	1.1956	0.009	6.5303	0.4516	0.1936	0.0274	1.5215	0.1858	5.3568	0	1.9652	0.6294	0.1196	0.7879	2.1619	0.0841	0.7374	0.0244	1
0.433	2.157	0.0189	0.2976	0.1123	0.148	0	0.2139	0.1065	0.1361	1.2114	0.366	0.0697	26.4217	0	0.0426	0.0225	0.1457	0.0837	1.132	0.3138	0.0391	12.153	3.6609	0.0762	0	0.5808	0.4485	3.0126	0.1747	1.4066	1.7343	0.251	0.9023	2.6616	0	1.689	0.0769	1
2.1579	0.0932	0.0043	0	0	0.2742	2.3932	0.0566	0	1.0405	0.2747	0.0176	0	13.0322	0.1994	0.0376	0.0238	0.06	3.5005	6.4005	3.7361	0.0489	7.9863	0.0418	0	0	0.5379	0.0103	1.4349	0	1.3399	1.0052	0.2823	0.1194	0	0	0.3911	0.1629	1
0.3245	2.0641	0.0052	0	0.0361	0.6181	0.0334	0.0962	0.2052	0.0524	0.3891	0.171	0.1791	0.2472	0	0.3374	0.0385	0.2703	0	0.6123	0.1008	0.1165	0.772	0.1184	0.93	0.2218	1.7022	1.3654	0.387	2.3568	2.048	0.7427	0.1814	2.1734	0	0.3119	0	0.0247	1
0.1789	1.7461	0.0067	0	0	0.0551	0	0.0954	0.0198	0.2462	0	0	0.0173	0.5724	0	0.0493	0.0149	0	0.0692	3.8404	1.5558	0.0141	0.6622	1.3059	0.1511	0	1.1339	0.5608	0.2988	0.4332	0.6974	0.6552	0.2023	0.1118	0.1023	0.1313	0.3664	0.0191	1
0.4658	0.4262	2.1802	0.064	0.0362	0.1433	0.822	0.1242	0.0687	3.144	8.0979	0	0.045	2.6491	0.1123	0.1283	3.1133	0.0418	6.4131	1.3075	0.2025	0.0275	6.2063	0.187	0.1967	0	0.6326	0.1888	3.1112	0	7.2026	0.9062	0.2025	2.9847	0.0533	0.0142	0.2044	0.1987	1
0.3843	0.6067	0.0068	0.1243	0	0.1623	0.0977	0.1742	0.0917	0.0511	0.2168	0	0	1.3659	0.1271	0.1067	0.0282	0.0608	0.0525	1.8662	1.0811	0.0245	5.689	0.066	0.2387	0.311	0.8414	0.1099	2.2647	0	2.5848	1.5004	0.1179	0.7065	0.0129	0.0277	0.3307	0	1
0.77	0.5078	0.0156	0	0.0648	0.064	0.0899	0.0247	0.0077	0.051	4.8905	0	0.0201	11.7617	0.0167	0.0819	0.108	0.056	0.1932	1.5463	1.7192	0.0144	6.0848	0.1215	0.3516	0.0622	0.4187	0.0225	4.9519	0	0.9194	1.3813	0.0724	1.1709	0.0119	0.9039	0.0609	0.0222	1
0.2472	1.6369	0.0013	0.0485	0.0549	0.3441	0	2.4905	0.0195	0.1964	0.0423	0	0	0.9413	0.0567	0.2779	0.011	0.3088	0.1502	0.2041	0.2303	0.0365	0.5881	33.0407	0.2237	0	0.5506	3.2823	1.6214	0	0.3212	0.9698	0.0614	0.9381	0.0303	0.0864	0.2583	0.0376	1
0.3671	0.8676	0.0034	3.7218	0.0357	0.0471	0.0992	2.6517	0.0423	0.3114	0.6602	0.127	0.3324	10.8463	0.0553	0.0632	0.0381	0.0206	0.1952	1.7426	0.1995	0.052	8.1518	2.8301	0.0969	0.0823	1.4541	0.2232	1.9155	0	4.1737	1.8904	0.3591	0.7888	18.0513	0	0.3356	0.0734	1
0.3918	1.3629	0.1703	0.0399	0.7902	0.1786	0.0314	0.172	0.0321	0.0219	4.5578	0.0134	0.014	2.6818	0.8859	0.0685	0.6325	0.0586	1.4814	1.6291	1.1355	0.04	2.8998	0.9955	0.0613	0.0781	2.8317	0.1098	0.6663	0.1405	2.828	1.4944	0.1136	1.4966	0.0083	2.4586	0.0849	0.0155	1
0.9093	2.472	0.0058	0.1429	0.0404	0.3464	0.2807	0.154	0.0096	0.049	2.8033	0.024	0	2.6779	0	0.0102	0.0108	0.035	0.3014	1.2868	1.0166	0.0768	2.3076	0.7016	0.0549	0.5128	0.6795	0.0421	2.8196	0.1258	5.0635	3.4486	0.2711	1.5428	0	0	0.684	0.0277	1
0.7948	1.424	0.0037	0.2731	0.2319	0.1528	0	0.2797	0.055	0.9552	9.6478	0.1145	0	2.6484	0.0998	0.1661	0.0412	0.0557	0.3074	1.6813	1.2958	0.4186	4.1364	1.0695	0.1573	0.2526	1.674	0.2148	5.7022	0.1203	3.808	0.6821	0.1296	1.242	0.0284	0	0.0727	0	1
