C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
67	24	7	1	10	18	47	16	2	39	81	1	1	34	6	10	0	1	9	171	27	38	217	14	5	4	64	3	10	1	60	20	5	30	1	0	5	13	1
22	46	7	0	0	3	5	11	9	20	75	1	0	34	6	13	4	19	10	77	13	24	36	10	1	0	37	25	5	1	53	33	6	18	1	2	19	7	1
24	81	9	0	0	7	16	11	32	20	41	1	1	55	4	11	0	34	141	197	38	13	42	11	2	1	47	8	41	2	109	16	7	17	0	0	14	2	1
32	24	33	1	4	6	6	21	17	25	21	2	0	47	1	9	5	5	22	41	8	12	27	113	1	2	58	34	14	1	65	44	11	21	0	7	11	2	1
23	65	1	0	0	4	59	2	4	1	96	3	0	11	11	5	1	0	7	23	1	2	124	40	3	2	2392	1	18	0	53	17	1	14	0	0	0	2	1
12	13	8	72	0	1	3	267	1	449	118	2	20	9	2	9	2	2	0	22	4	2	6	4	1	1	14	2	0	1	9	15	6	5	237	35	66	0	1
36	48	1	0	2	6	3	6	0	3	73	0	1	152	41	1	8	1	3	16	9	3	16	66	7	2	69	29	27	1	15	17	21	33	0	9	1	3	1
34	34	19	6	0	23	53	16	2	4	24	3	27	65	2	7	6	365	70	81	19	14	61	16	5	0	140	13	10	1	45	93	6	22	2	0	11	3	1
113	25	2	2	1	3	69	2	1	1	50	2	11	255	30	2	8	31	40	58	11	3	38	181	0	1	23	61	5	0	197	135	21	9	0	1	3	1	1
12	17	1	0	1	13	0	0	2	2	46	2	63	6	1	2	1	1	3	15	6	9	8	479	1	1	100	14	1	1	16	21	3	12	0	5	0	2	1
14	51	1	25	11	4	6	20	6	530	13	4	3	31	6	79	121	23	8	9	3	56	28	215	1	6	58	90	12	107	48	11	10	23	2	99	23	5	1
33	12	3	1	2	54	5	5	0	1	95	0	0	35	6	3	1	2	4	87	16	7	22	159	2	10	30	11	33	1	71	28	7	35	1	1	0	0	1
30	27	2	0	10	38	22	5	1	2	29	0	0	39	40	8	1	1	7	33	12	1	52	491	1	3	47	12	42	0	75	27	1	26	0	5	0	7	1
15	80	4	3	1	9	0	48	4	41	279	4	0	17	0	13	1	492	43	10	4	16	2	4734	3	1	63	135	41	2	34	16	5	12	0	2	7	0	1
14	31	2	19	2	8	2	108	5	27	211	8	2	27	11	21	11	16	9	44	7	45	42	175	1	0	40	15	60	1	24	24	11	28	1	3	7	15	1
10	40	1	4	2	9	3	17	28	25	124	8	3	39	3	21	6	32	17	19	9	9	37	86	3	0	488	138	5	0	22	17	11	45	1	6	11	0	1
18	37	7	46	0	17	13	266	9	69	75	5	3	80	42	20	3	12	2	135	8	109	49	49	7	0	43	27	25	0	38	24	8	33	0	4	22	15	1
27	4	1	1	1	2	62	2	1	1	40	0	1	292	154	0	310	0	1	34	9	1	50	224	0	0	28	119	3	0	91	7	12	19	0	1	1	4	1
46	12	0	1	4	21	7	3	1	168	91	6	0	1020	12	2	388	4	4	21	5	7	48	4347	2	20	168	22	6	0	64	14	10	16	0	5	0	5	1
43	11	5	0	3	5	38	6	1	118	335	0	3	66	181	3	3	1	10	38	10	3	57	64	5	4	43	28	49	0	28	13	3	9	1	0	0	4	1
9	59	3	0	1	12	4	12	5	36	2	5	7	49	0	9	3	17	7	31	4	39	15	123	2	1	26	72	11	0	29	25	13	15	4	2	8	0	1
15	13	4	1	0	7	2	11	2	15	6	0	1	35	1	2	2	35	2	18	6	12	12	7	1	1	19	8	10	0	23	6	0	6	859	53	94	0	1
17	5	0	42	8	1	0	6	0	2	53	1	2	63	21	2	2	3	3	32	4	0	37	36	7	6	13	19	22	0	63	12	4	14	0	13	0	6	1
21	74	1	2	1	15	148	355	13	38	212	0	6	152	22	2	7	156	117	153	25	5	71	12	8	4	34	4	30	1	137	14	10	7	3	1	7	9	1
5	66	208	4	1	2	1	62	50	293	1	1	2	9	0	14	21	140	14	30	8	96	27	136	3	0	150	360	6	34	2	11	7	10	1	11	7	0	1
11	38	4	0	27	10	2	4	1	2	53	2	3	85	25	7	1	38	0	7	2	14	6	1814	23	6	172	91	39	1	22	28	22	45	0	19	0	1	1
33	21	5	4	116	7	19	10	0	233	51	3	2	106	198	13	1819	5	10	59	8	1	92	46	3	6	43	9	51	0	199	24	11	30	12	3	0	6	1
31	11	1	0	24	8	2	10	1	0	229	4	0	196	151	9	0	1	1	26	3	1	21	69	1	4	30	34	28	0	50	19	12	27	0	1	1	6	1
14	28	2	0	0	12	3	4	14	0	14	0	3	35	2	8	78	47	55	73	20	5	35	41	6	10	81	5	17	0	39	36	8	29	0	2	1	1	1
28	17	5	2	1	4	7	9	2	4	19	1	0	17	3	16	3	3	9	14	4	335	15	64	1	0	18	19	13	0	23	7	5	37	9	0	193	15	1
24	53	6	3	4	7	2	12	7	41	25	4	1	12	3	10	2	19	15	40	7	35	11	22	3	4	37	7	6	0	27	10	6	10	17	0	10	1	1
35	29	8	1	0	11	1	17	16	14	14	7	12	24	12	12	4	21	15	46	7	22	28	35	2	8	57	93	5	26	39	30	17	25	945	0	165	7	1
29	47	6	3	2	5	4	18	9	61	40	4	17	58	15	8	2	762	8	37	11	13	32	100	2	7	51	24	29	0	21	15	1	31	0	1	12	2	1
