C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
40	28	7	38	0	15	2	314	6	46	285	0	3	24	8	2	192	21	53	90	19	9	62	8	1	2	311	38	41	1	138	14	10	22	2	43	5	2	1
42	47	2	33	0	7	4	28	163	409	114	0	6	38	27	14	11	2	25	64	12	4	77	27	4	2	66	15	56	0	33	12	6	11	165	6	11	1	1
12	49	7	3	2	4	0	10	8	20	14	11	2	206	0	3	3	9	3	19	2	11	91	139	1	0	16	23	20	1	15	21	8	8	129	0	16	2	1
113	4	3	0	0	14	174	5	0	289	6	1	0	192	13	5	6	7	237	203	45	26	113	3	0	0	28	1	18	0	27	23	17	2	0	0	7	8	1
14	73	3	0	1	26	2	7	24	12	7	8	8	3	0	37	8	26	0	16	1	51	9	7	19	16	73	109	4	21	34	14	9	30	0	22	0	1	1
10	80	5	0	0	3	0	9	3	73	0	0	1	9	0	7	4	0	5	130	20	8	10	100	4	0	63	58	4	5	15	16	13	2	10	12	7	1	1
20	15	1252	1	1	6	49	9	8	716	145	0	2	32	6	14	644	4	356	34	2	12	72	11	4	0	27	15	32	0	119	17	10	41	4	1	3	8	1
17	22	4	2	0	7	6	13	11	12	4	0	0	17	7	12	6	6	3	50	11	11	68	4	5	23	37	9	24	0	44	29	6	10	1	2	5	0	1
37	20	10	0	2	3	6	2	1	13	98	0	1	159	1	10	25	6	12	45	19	7	79	8	8	5	20	2	57	0	17	29	4	18	1	71	1	1	1
14	76	1	1	2	19	0	238	3	59	1	0	0	15	4	40	3	39	11	7	3	21	9	2564	6	0	31	344	22	0	7	24	4	17	3	8	5	2	1
16	31	2	59	1	2	6	195	5	72	12	6	15	133	3	7	8	2	11	46	2	23	96	169	2	6	63	18	20	0	70	36	18	11	1376	0	5	3	1
27	77	157	1	35	12	3	20	6	8	131	1	1	52	76	12	210	9	132	68	18	28	54	94	2	9	194	14	11	2	75	45	9	33	1	277	2	1	1
35	78	3	2	1	13	15	10	1	10	45	1	0	29	0	1	2	3	15	30	9	30	24	37	1	33	26	3	26	1	75	58	12	19	0	0	9	1	1
32	47	2	4	6	6	0	19	6	204	162	5	0	30	5	17	8	5	16	41	12	171	45	59	3	17	67	16	55	1	59	12	6	16	2	0	1	0	1
8	44	6	0	2	7	0	10	1	9	36	0	2	99	0	3	14	3	9	22	3	6	11	55	0	1	42	38	5	0	8	13	10	5	2	1	15	0	1
29	29	3	2	0	11	2	11	2	19	17	0	0	39	0	6	3	3	2	46	10	15	68	54	2	11	48	1	16	11	55	15	6	13	2	12	1	3	1
18	20	25	0	4	1	4	7	1	12	12	5	8	66	2	1	7	3	21	21	4	20	124	64	0	0	14	2	16	0	1	57	7	1	2	1	18	2	1
41	41	3	2	0	5	17	14	7	21	9	2	4	117	8	5	3	11	11	68	6	203	84	64	4	6	145	6	30	0	60	23	11	11	0	0	20	6	1
23	96	6	4	2	20	55	31	0	25	2	0	0	39	13	11	2	13	7	63	21	8	88	16	0	1	14	14	28	0	153	14	8	24	0	0	8	24	1
15	16	400	37	147	3	9	62	8	102	216	1	4	7	50	141	40	11	6	109	17	18	112	86	3	2	245	359	123	5	11	21	7	13	4	1	13	0	1
62	51	6	4	2	6	16	24	4	40	35	1	1	134	5	15	11	8	11	198	36	7	101	73	8	21	34	28	62	0	147	29	11	17	2	20	0	7	1
23	56	5	2	0	14	35	9	1	13	4	5	2	79	4	7	6	2	20	110	18	7	30	226	0	5	44	6	161	1	131	15	13	15	27	0	5	3	1
44	28	9	1	10	6	7	15	11	22	29	1	0	29	307	19	5	11	6	83	17	5	87	40	3	14	112	13	82	2	66	51	21	25	7	2	4	11	1
16	113	8	3	0	13	1	4	4	18	62	1	0	30	2	14	1	10	79	16	6	3	16	85	3	5	40	34	5	0	62	29	9	15	971	2	10	4	1
29	28	6	0	0	6	1	12	3	8	19	5	0	86	4	5	4	3	14	26	1	4	31	47	3	0	59	3	13	0	24	41	6	12	6	40	3	1	1
5	91	7	3	1	21	1	19	2	26	23	1	5	24	1	16	5	32	2	7	0	30	26	121	2	1	52	97	12	8	27	21	24	16	3	4	9	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	11	2	5	0	2	24	17	103	70	24	2	0	32	0	13	4	8	11	102	27	12	38	42	2	35	44	11	95	1	35	44	2	23	1	3	3	4	0
